Title,Author,Year,Updated,Tags
@MassageMcLuhan,"Matt Schneider",2013,"10/26/2017 - 10:16","bot, twitter, tweepy, Python, scheduled, social, sharingplatform"
@tonightiate,"Matt Schneider",2013,"10/26/2017 - 10:18","twitter, bot, tweepy, Python, social, scheduled, sharingplatform"
#gifandcircumstance,"Allison Parrish",2012,"10/26/2018 - 12:59","twitter, memes, Python, animated gif, bot, social, generative, sharingplatform, random, Parrish's blog, mood"
"@crashtxt / exq=.s.te =n.c&de/s","Jim Punk",2012,"10/26/2017 - 10:12","unicode, HTML, javascript, twitter, social, sharingplatform"
"The River Dart","J. R. Carpenter",2009,"10/26/2017 - 10:49","serial, twitter, social, performance, sharingplatform"
@Darius_at_GDC,"Darius Kazemi",2013,"10/26/2017 - 10:12","twitter, bot, social, performance, scheduled, sharingplatform"
"Occupy MLA","Mark C. Marino, Rob Wittig",2011,"09/25/2019 - 16:39","twitter, performance, social, netprov, serial, labor, precarity, academia, protest"
"Reality: Being @SpencerPratt","Mark C. Marino, Rob Wittig",2013,"10/26/2017 - 10:41","twitter, social, netprov, performance, sharingplatform"
@Tempspence,"Mark C. Marino, Rob Wittig",2013,"10/26/2017 - 10:18","twitter, social, netprov, performance, generative, sharingplatform"
"Times Haiku","Jacob Harris",2013,"07/01/2015 - 13:01","haiku, generative, static"
"Face the Facts","Dan Waber",2013,"07/01/2015 - 13:01","responsive, static, constraint"
"How They Brought the News from Paradise","Alan Bigelow",2012,"07/01/2015 - 13:01","CSS, HTML, javascript, responsive, kinetic, audio"
"In a World Without Electricity","Alan Bigelow",2012,"07/01/2015 - 13:01","CSS, HTML, javascript, responsive, audio, kinetic"
Catharsis,"Pedro Valle Javier",2013,"07/01/2015 - 13:01","hypertext, HTML, static, responsive"
Memory,"Pedro Valle Javier",2013,"07/01/2015 - 13:01","memes, social, e-poetry, HTML, static"
"No Choice About the Terminology","Jason Edward Lewis, Christian Gratton, Elie Zananiri, Bruno Nadeau",2013,"11/08/2016 - 15:27","iOS, responsive, kinetic"
"Lollipop Noose","Todd Seabrook",2009,"11/09/2016 - 16:07","Flash, static, kinetic, audio, digital art"
"Little Book of Prompts","Sylvanus Shaw",2010,"07/01/2015 - 13:01","Flash, static, kinetic, responsive"
Unravel,"Agnieszka Michalska",2010,"07/01/2015 - 13:01","Flash, static, scheduled, kinetic"
Essay,judsoN,2010,"07/01/2015 - 13:01","HTML, generative, static"
"Nomen Sacrum Trial","Sylvanus Shaw",2010,"07/01/2015 - 13:01","Flash, static, kinetic, responsive"
"Alphabet of Stars","Whitney Anne Trettien",2010,"07/01/2015 - 13:01","HTML, javascript, responsive, kinetic"
"Real_Time_""1sts!"" [or: PanoptiConned Imagery From the Scene]","Mez Breeze",2013,"07/01/2015 - 13:01","twitter, social media, terror"
"Wittenoom: speculative shell and the cancerous breeze","Jason Nelson",2009,"11/06/2019 - 16:02","Flash, kinetic, audio, scheduled, responsive, game"
"Cannibal Dreams","Lacy Cunningham, Justin Talbott",2010,"07/01/2015 - 13:01","HTML, CSS, javascript, hypertext, static, responsive"
"Speaking of Rivers","Whitney Anne Trettien, Jonathan Peter Moore",2009,"07/01/2015 - 13:01","static, responsive, audio"
"Afghan War Diary","Matthieu Cherubini",2010,"11/28/2015 - 15:38","google earth, wikileaks, computer game, static, kinetic, responsive, Counter-Strike"
"Any Vision","Zuzana Husárová",2011,"10/26/2017 - 11:00","static, video, scheduled, audio, extreme inscription, videopoem, scanning electron microscopy, anagram poem, experimental poetry, poetry, sharingplatform"
"Algorithmic Poems","Chris Funkhouser",2011,"07/01/2015 - 13:01","static, generative"
"Working Memory","Ian Hatcher",2011,"07/01/2015 - 13:01","HTML, javascript, scheduled, static"
"There Are Many Detours Between Information And Instruction","Joe Milazzo",2012,"07/01/2015 - 13:01","Flash, static"
#Carnivast,"Mez Breeze, Andy Campbell",2013,"08/11/2018 - 23:04","code poetry, visual poetry, mezangelle, 3D, virtual environment, mobile, poetry, touch, haptic"
@bogost_ebooks,Anonymous,2013,"10/26/2017 - 10:12","twitter, serial, social media, sharingplatform"
Trickle,"Jörg Piringer",2012,"07/01/2015 - 13:01","kinetic, dance, performance, audio, scheduled"
"Signal Box","Ian Hatcher",2012,"07/01/2015 - 13:01","audio, scheduled, dance, performance"
"Rhythmus 21","Hans Richter",2012,"07/01/2015 - 13:01","film, dance, performance"
Bindings,"David Jhave Johnston",2012,"07/01/2015 - 13:01","video, dance, performance"
"Do Not Forget It","Pierre Alferi",2012,"07/01/2015 - 13:01","video, performance"
"The World As Yours","Loss Pequeño Glazier",2012,"07/01/2015 - 13:01","audio, video, dance, performance"
"Etymon / Encarnación","Loss Pequeño Glazier",2012,"07/01/2015 - 13:01","video, audio, dance, performance"
"Clone-ing God & Ange-Lz","Mez Breeze",1999,"06/08/2021 - 17:08","scheduled, kinetic, audio, mezangelle, HTML, Flash, Shockwave"
Birdfall,"Mez Breeze",2000,"07/01/2015 - 13:01","static, kinetic, scheduled, HTML, audio, Flash, Shockwave"
natyr,"Ottar Ormstad",2013,"07/01/2015 - 13:01","video poem, digital concrete poetry, multilingual"
"Radiant Copenhagen","Anders Bojen, Kristoffer Ørum",2009,"11/28/2015 - 15:37","science fiction, urban exploration, wiki, map, virtual environment, responsive, hacktivist, Flash, tourism, mashup, locative, spatial, fiction"
Amoklæsning,"Simon Gotrian",2001,"11/28/2015 - 15:34","performance, lyric, Nordic, collaborative, mashup, audio-visual, responsive, multimodal, interpretation, Goetrian, poetry"
"Welcome to Pine Point","Michael Simons, Paul Shoebridge",2011,"05/10/2020 - 16:51","multimedia, video, audio, Flash, kinetic, static"
"Expansive Mayhem","Loss Pequeño Glazier",2011,"07/01/2015 - 13:01","performance, video, audio, scheduled"
"Disposable Language","Talan Mohamed Memmott",2011,"07/01/2015 - 13:01","performance, dance, audio"
"Dans la gueule du loup","Nicolas Clauss, Jean-Jacques Birgé",2003,"10/21/2015 - 13:44","Shockwave, responsive, kinetic, audio, interactive tableau"
"I Cried Of Course","Steve Minor",2002,"07/01/2015 - 13:01","multimedia, audio, scheduled, Flash"
"What the Nightwoman Texted","Mark C. Marino",2010,"07/01/2015 - 13:01","responsive, static"
"Inanimate Alice, Episode 2: Italy","Kate Pullinger, Chris Joseph",2006,"06/08/2017 - 00:03","Flash, audio, responsive, static, scheduled"
"Figure 5 Media Series","Megan Sapnar",2001,"07/01/2015 - 13:01","Flash, QuickTime, audio, responsive, William Carlos Williams, digital poetry"
"the WORD project",Christopher,2002,"07/01/2015 - 13:01","Flash, audio, responsive"
"Bembo's Zoo","Roberto de Vicq de Cumptich",2000,"07/01/2015 - 13:01","typography, Flash, audio, kinetic, scheduled"
"Four Guillemets","Loss Pequeño Glazier",2013,"07/01/2015 - 13:01",
"Writing To Be Found In Common Tongues","John Cayley, Common Tongues",2013,"07/01/2015 - 13:01",
speculat1on.net,"N. Katherine Hayles, Patrick LeMieux, Patrick Jagoda",2012,"10/26/2017 - 10:44","alternate reality game, activism, recession, capitalism, transmedia, capital, investment banks, economic crisis, multiplayer, collaborative platform, game, sharingplatform"
"kig forbi","Christian Yde Frostholm, Charlotte Hansen, Karen Wagner",1999,"11/28/2015 - 15:33","visual, Nordic, born digital, exhibition, generative hypertext, collaborative, appropriated texts, memoir"
Dérives,"Caroline Delieutraz",2012,"07/01/2015 - 13:01","interactive flash"
"Hybrid moment","Rafaël Rozendaal",2012,"07/01/2015 - 13:01",Flash
"The Fantastic Flying Books of Mr. Morris Lessmore",,2012,"11/10/2016 - 15:22","iOS, ipad"
"M.M. et brevprojekt","Mette Moestrup",2003,"07/01/2015 - 13:01","e-mail, hypertext, letters, interpersonal, personal, Nordic"
"Bogen jeg ikke skriver","Mai Misfeldt",2001,"07/01/2015 - 13:01","e-lit, electronic fiction, traditional literature, Nordic, static, memoir, philosophical"
Program:Møntvask,,2003,"07/01/2015 - 13:01","hypertext, visual, hyperlink, contemporary art, e-lit print, Nordic"
"Rider Spoke","Blast Theory",2007,"11/08/2016 - 11:26","locative narrative, game, cycling, messages, urban exploration, creative language"
"Family of silence","Linda Suthiry Suk",2012,"07/01/2015 - 13:01","Flash, video, audio, poetry, war, Cambodia"
"Urban Fragments","Jody Zellen",2009,"10/29/2018 - 13:29","pop-ups, urban, city, image as text, audio, interface, interactive, virtual, chaos, experience, online"
nextgame,"Friedrich W. Block",2010,"07/01/2015 - 13:01","chess, combinatory, short story, constraint"
"Mandelbrot.fr (private reading device)","Alexandra Saemmer, Bruno Scoccimarro",1999,"06/01/2016 - 13:42","ephemerality, device, temporarilty, flow, memory, deletion, aesthetics, online, extinction, dialogue, context"
"The 24-Hr. Micro-Elit Project","Dene Grigar",2009,"10/26/2017 - 10:46","twitter, microfiction, collaboration, narrative, flash fiction, American culture, American city life, submit, fiction, sharingplatform"
Sphiros,"James B. Pollack",2009,"04/04/2016 - 14:48","animation, layers, zooming interface, sound, image, headtracking, fiction, timequake, open source"
"Big Swing","Kenneth Calhoun",2010,"06/04/2016 - 15:30","narrative, photography, audio, video, hypertext, exploratory, non-linear, mixed media, text, photograph, sound design, interactivity, fiction"
TILT,"Angela Ferraiolo",2010,"10/25/2018 - 14:23","video text, database, experimental cinema, spatial narrative, adaptation, kinetic, narrative, pinball, Babysitter, arcade game"
"Grande Enquête","Delphine Riss, Cécile Bucher",2007,"09/25/2017 - 15:39","participatory, digital poetry, performance, taxonomy"
Ream,"Nick Montfort",2007,"09/25/2017 - 15:18","paper, print, single words, poetry"
Feed,"Robert Kendall",2008,"06/04/2016 - 15:46","text generation, poetry, association, chance, history, meta-fiction, narrative, digital poetry, real-time poem, real-time, charged words, generative poetry, myth, chronicle, realism, meaninglessness, historicity"
Descants,"Shawn Greenlee",2010,"09/25/2017 - 15:07","sound installation, spoken word, recordings, remix, archive, ambient, audio, Robert Coover"
"Ethereal Landscapes","Alexander Mouton, Christian Faur",2005,"06/04/2016 - 15:44","artist's book, photography, database, barcode, generative, augmented book, video, audio, biology, temporality, mortalitity"
"Odyssée 3 min 50","Linda Suthiry Suk",2007,"11/28/2015 - 13:03","poetry, film, cinema"
"The Pen","Jim Andrews",1999,"09/25/2017 - 15:00","vispo, lettrism, poetry, visual poetry"
"Attempting Ziggurats 4","Ed Osborn",1992,"09/22/2017 - 12:56","audio, installation, John Barth, spoken word, babble, recitation, Tower of Babel, American culture, language, noise, nation"
"One or More Disfigurements in the Home","Benny Lichtner",2009,"06/04/2016 - 15:55","hypertext, fragmentary, disfigurement, fiction"
"Nine Gestures for J.D. Salinger","Mikhail Mansion",2010,"10/26/2018 - 12:38","interactive, constraint, response, writing, machine response, fiction, poetry, Nine Stories, book, inscriptions"
"2 sides/2 lados","Maria Lucia Cattani",2010,"06/04/2016 - 15:27","book arts, drawing, script, site-specific, signs, surface, laser cut, wall drawing, book art, digital manipulation, installation"
"Why Some Dolls Are Bad: a generative graphic novel for the iPhone","Kate Armstrong",2007,"11/08/2016 - 15:16","generative, novel, graphic novel, identity, dolls, tags, image and text, ethics, fashion, artifice, the self, mohair, contagion, environmental decay, dynamic narrative, archiving, interactive, touch"
Evidence,"Lorenza Samuels",,"10/31/2018 - 15:23","hypertext, sound and image, crime, interactive, detective"
Hypertexte,"Gerald Berche-Ngô",2010,"10/19/2017 - 15:59","hypertext, interactive, story, non-linear"
"Voyage avec l’ange","Tamara Lai",1999,"10/19/2017 - 15:58","hypertext, sound and image, voice, interactive, story, humour, mythical, fiction, symbols"
"Apparitions inquiétantes","Anne-Cécile Brandenbourger",1998,"10/19/2017 - 15:56","hypertext, sound, story, non-linear, interactive, fiction, photograph"
Afterwards,"Judy Malloy",2003,"10/19/2017 - 15:55",
"Landscape Projects","Judy Malloy",2009,"10/19/2017 - 15:54",
"Dorothy Abrena McCrae","Judy Malloy",2000,"10/19/2017 - 15:51",
georgelazenby,Anonymous,2009,"10/26/2017 - 10:29","sharingplatform, twitter"
KimKierkegaardashian,Anonymous,2012,"10/26/2017 - 10:33","twitter, bot, sharingplatform"
"Kantye West",Anonymous,2012,"10/26/2017 - 10:33","sharingplatform, twitter"
"Justin Buber",Anonymous,2011,"10/26/2017 - 10:32","sharingplatform, twitter"
"Latour Swag","Darius Kazemi",2013,"10/26/2017 - 10:34","twitter, bot, javascript, social media, sharingplatform"
"Histoire de la Femme aux Grosses Mains","Véronique Hubert",2002,"10/26/2017 - 13:11","fiction, story, poetry, absurd, CD-ROM, body"
"Phares gamma","Jacques Donguy",2002,"10/19/2017 - 15:39","sound and image, hypertext, interactive"
"243 cartes postales en couleurs véritables","Georges Perec",1978,"07/01/2015 - 13:01","combinatorial techniques, interactive, fiction, postcards, algorithm, game"
"Un conte à votre façon","Raymond Queneau",1999,"10/19/2017 - 15:37","hypertext, interactive, non-linear, abstract, algorithm, combinatorial techniques"
"Opération Teddy Bear","Edouard Lussan",1996,"11/28/2015 - 12:56","comic, interactive, story, world war II, linear, fiction, war"
"Sale Temps","Frank Dufour, Gilles Armanetti, Jack Chiffot",1997,"11/28/2015 - 12:55","interactive, fiction, pictures, photomontage, crime, novel, Faust, death, murder"
"20% d’amour en plus","François Coulon",1996,"10/19/2017 - 15:35","interactive, hypertext novel, hypertext, non-linear, story, sound and image, fiction, novel"
"Frontières Vomies (Borders vometing)","Jean-Marie Pelloquin",1995,"10/19/2017 - 15:34","interactive, hypertext, Poetic, non-linear, interactive story, fiction, novel"
"La Machine à Écrire (The typewriter)","Jean A. Baudot",1964,"03/29/2017 - 14:39","generated poetry, text generator, LGP-30"
"det sublime","Frank Altschul Jensen",2007,"10/19/2017 - 15:31","hypertext, sports, Flash, textual, animation, Nordic, kinetic, constraint, scheduled"
"A is for Apple","David Clark",2002,"10/19/2017 - 15:30","religion, pop culture, language, interactive, essay, audio-visual, audiovisual, knowledge, non-linear"
"Algoritmo, (Algorithm)","Pablo Brito Altamira",2005,"10/19/2017 - 15:28","hypertext, novell, interactive, crime novel"
"Como el cielo los ojos (Like the sky the eyes)","Edith Checa",1998,"10/19/2017 - 15:28","hypertext novel, multi plot, timeline, interactive, fiction, hypertext, novel"
Pentagonal,"Carlos Labbé",2001,"10/19/2017 - 15:26","hypertext, non-linear, simulation, email, digital poem"
"Desde Aquí (From here)","Mónica Montes",,"10/19/2017 - 15:25",hypertext
"Locusta Temporis (The Age of Locust)","Enrico Colombini",2010,"10/19/2017 - 15:24","hypertext, crime, adventure game"
"Wanderkammer: A Walk Through Texts","J. R. Carpenter",2011,"10/19/2017 - 15:23","hypertext, HTML, walking"
"Fishes and Flying Things","J. R. Carpenter",1995,"10/19/2017 - 15:23","HTML, hypertext"
Xilo,"Rodrigo Motta",2011,"11/20/2018 - 00:00","narrative game, Brazil, FILE, game"
@everyword,"Allison Parrish",2007,"10/26/2018 - 13:01","twitter, bot, Python, tweepy, serial, sharingplatform, John F. Simon, social media, personalization, experimental"
"Verrà H.P. e avrà i tuoi occhi (H.P. will come and will have your eyes)","Antonio Koch",2010,"10/19/2017 - 15:21","hypertext, crime, novel, fiction"
"Chi ha ucciso David Crane? (Who killed David Crane?)","Fabrizio Verrandi",2010,"10/19/2017 - 15:19","hypertext, crime, novel, fiction"
"Ipertesto Poetico Quadridimensionale","Machina Amniotica",1995,"10/19/2017 - 15:18","hyperpoetry, non-linear, generated, hypertext, poetry"
Grafoman,,1997,"10/19/2017 - 15:16","hypertext, non-linear, fiction"
#Hvisjegvarhvit,,2013,"11/06/2017 - 09:38","twitter, collaborative, sharingplatform"
"Eclipse Louisiana","Marjorie C. Luesebrink",,"05/30/2013 - 12:51",
"The 20 Friends I wish I had","Belinda Haikes",,"03/19/2013 - 13:43",
"Tape Mark I","Nanni Balestrini",1961,"11/28/2018 - 13:04","generated poetry, electronic calculator, combinatory"
...hihi...,"Evgenia Sarbeva",2010,"07/01/2015 - 13:01","computer, conversation, self-reflexivity"
"Algorithmic Search for Love","Julian Palacz",2010,"03/28/2017 - 14:16","video, movie, spoken word, collage, algorithmic art, search, phrase"
Damascene,"Milorad Pavić",1998,"10/19/2017 - 15:11","hypertext, non-linear, fiction"
"Closed Reality – Embryo","Andreja Kuluncic",1999,"10/19/2017 - 15:09","interactive, experimental games, collaboration, game, creative language"
"Mreža snova (The Dream Net)","Kata Mijatovic",2001,"10/19/2017 - 14:53","hypertext, Poetic, text picture, dream"
Commedia,"Krešimir Pintaric",2006,"08/26/2019 - 12:46","web, HTML, computer-assisted poetry"
wap.sonnet,"Igor Štromajer",2000,"07/01/2015 - 13:01","gsm, mobile, intimate, sonnet, art, deleted by author"
gsm.art,"Igor Štromajer",1999,"10/19/2017 - 14:48","gsm, interactive animation, web, mobile phone, intimate, mobile, communication, art"
"SP_/\_M s.o.n.n.e.t","Teo Spiller",2008,"10/19/2017 - 14:45","spam, email art, sonnet, sound"
Nacija-kultura,"Vuk Ćosić",2000,"07/01/2015 - 13:01",
"the missing engine of laputa","Marko Košnik",2006,"11/28/2019 - 00:42","video art, word and image, sound, generative art, generative poetry"
"operabil Vienna","Marko Košnik",2005,"07/01/2015 - 13:01","video art, word and image, sound, generative art, generated poetry"
"@frodegrytten (microfictions on Twitter)","Frode Grytten",2011,"10/26/2017 - 10:13","twitter, fiction, daily writing, microfiction, sharingplatform"
@Jhave2,"David Jhave Johnston",2010,"10/26/2017 - 10:14","twitter, networked performance, sharingplatform"
#OutsideUrDoor,"Mez Breeze",2010,"10/26/2017 - 10:10","twitter, live performance, alternate reality game, sharingplatform"
"Brzinski spomeniki","Marko Košnik",1994,"10/19/2017 - 14:37","audio, figures of manipulation, voices, expressive processing"
Bajke,"Ziga Turk, Barbara Zeleznik, Igor Bizjak",1986,"10/19/2017 - 14:33","hypertext, adventure game"
"Smrkci (Smurfs)","Ales Jaklic, Matej Gasperic, Ales B. Ivanko",1985,"10/19/2017 - 14:33","hypertext, adventure game"
Eurorun,"Ziga Turk, Matevž Kmet, Barbara Zeleznik, Igor Bizjak, Samo Fosnaric",1985,"10/19/2017 - 14:32","hypertext, adventure game"
"Kontrabant 2 (Smuggler 2)","Ziga Turk, Matevž Kmet, Saso Jankovic, Jani Kovacic",1984,"10/19/2017 - 14:31","hypertext, adventure game, pioneering, game"
"Kontrabant (Smuggler)","Ziga Turk, Matevž Kmet",1984,"10/19/2017 - 14:29","hypertext, adventure game, pioneering"
"The City","Marketa Bankova",1997,"11/28/2015 - 12:43","fiction, diary, non-linear reading, surreal, absurd, multimedia, hypertext novel, interactive"
"New York City Map","Marketa Bankova",2000,"10/19/2017 - 14:27","interactive, virtual world, map, google maps, language – sound - picture relationship, abstract realities"
4079,"Zuzana Husárová, Ľubomír Panák",2011,"10/26/2018 - 12:27","conceptual, digital poem, interactive, non-linear reading, canvas, poetry, text, graphics, connected narrative, separation"
Twitterwurking,"Mez Breeze",2008,"10/26/2017 - 10:51","twitter, mezangelle, sharingplatform"
"Mummypoem (Sympathies Of War - A Postscript)","Tom Konyves",1978,"07/01/2015 - 13:01","video, digital poem, pioneering"
"Sympathies of War","Tom Konyves",1978,"07/01/2015 - 13:01","video, digital poem, pioneering"
"Meditation no 4","Tomasz Wilmański",2004,"10/17/2017 - 15:51","animation, alphabet, algorithmic poem, letterism, aural, moody"
"Księga Słów Wszystkich - The Book of All Words","Józef Żuk Piwkowski",1975,"09/22/2016 - 14:53","word, generator, collection, static, collaboration, algorithm"
"Bluzgator generator","Paweł Kozioł",,"10/17/2017 - 15:49","algorithmic text generation, data-collection, randomness, interactive, application"
"Upgrade Soul","Erik Loyer",2012,"11/10/2016 - 15:35","ipad, iphone, touch"
"The Waste Land (iPad edition)","Thomas Stearns Eliot",2011,"09/26/2018 - 16:39","ipad, application, adaptation, touch"
"Alice for the iPad",,2010,"10/26/2017 - 12:28","application, ipad, touch, haptic"
Rapbot,"Darius Kazemi",2012,"10/26/2017 - 11:36","bot, generative, twitter, sharingplatform"
"Bruno Latourbot",Anonymous,2013,"10/26/2017 - 11:34","twitter, bot, social media, sharingplatform"
"Chasing Pandora","Allyson Cikor, Emily Devereux, Greg Turnbull, Mathew Vickery, Trent Redmond",2011,"10/31/2018 - 15:41","hypertext, HTML, audio, responsive"
Unravelled,"Spenser Wain, Zac Urness, Kollin Branicki",2011,"10/31/2018 - 15:39","hypertext, audio, xhtml, responsive"
"Taroko Gorge [2012 remix]","Nick Montfort",2012,"10/17/2017 - 15:34","HTML, javascript, static, scheduled"
TransmoGrify,"Leonardo L. Flores",2012,"10/17/2017 - 15:33","HTML, javascript, scheduled"
Fleshis.tics,"Mez Breeze",2000,"10/17/2017 - 15:32",
"Internal Damage Data","Mez Breeze",2000,"10/17/2017 - 15:28","e-poetry, hypertext, HTML, animated gif, responsive"
"Debasheesh Parveen and Ariadna Alfil","Eugenio Tisselli",2009,"10/26/2017 - 10:24","facebook, bot, generative, scheduled, sharingplatform"
Cthalloween,"Jay Bushman",2009,"10/26/2017 - 10:24","netprov, Cthulu, wiki, H.P. Lovecraft, twitter, sharingplatform"
"Star Wars Tweets",Anonymous,2012,"10/26/2017 - 10:45","twitter, serial, bot, sharingplatform"
GIF-Poems,"Komninos Zervos",2000,"09/26/2017 - 13:35","HTML, animated gif, Java, scheduled, static"
"Evening: 42 to 71","David Hadbawnik",2001,"09/26/2017 - 13:29",
Bus,"David Hadbawnik",2001,"09/26/2017 - 13:27","Flash, audio, static, scheduled"
Orbital,"Max Dunlop",2003,"09/26/2017 - 13:24","perl, Flash, HTML, responsive, audio, space travel"
"@DeleuzeGuattari, Rhiz-o-Mat, PoMoBot",Anonymous,1996,"09/26/2017 - 13:03","javascript, generator, Gilles Deleuze, Felix Guattari"
"Otte forsøk på at forstå hvad en bog er","Morten Søndergaard",2001,"09/26/2017 - 13:00","essay, born digital, multilingual or non-english, hypertext, traditional literature, nordic e-lit, philosophical, memoir"
parlør,"Christian Yde Frostholm, Karen Wagner, Charlotte Hansen, Tinne Borgland",2002,"09/26/2017 - 12:58","contemporary technological culture, multilingual or non-english, hypertext, collaboration, Flash, QuickTime, Nordic, stretch text, kinetic"
Pentametron,"Ranjit Bhatnagar",2012,"10/26/2017 - 10:39","twitter, bot, poetry generator, generator, networked, sharingplatform"
Kuffertene,"Morten Søndergaard",2003,"11/28/2015 - 12:38","hypertext literature, prose, linear"
Spätwinterhitze,"Frank Klötgen",2004,"08/18/2018 - 10:54","hypertext, sound environment, non-linear, fiction, crime, CD-ROM, interactive"
"tExtra.Tour (tExtra.Touren)","Oliver Gassner",2003,"09/26/2017 - 12:41","hypertext, sound, online performance space, art, email art, lectures"
"Lexikonroman – einer sentimentalen Reise zum Exporteutreffen in Druden","Andreas Okopenko",,"11/28/2015 - 12:34","hypertext book, non-linear reading, pioneering, fiction, navigation"
Meaning,"Jelena Glazova",2009,"07/01/2015 - 13:01","poetry, ambient video, light, sound environment, expressionism"
Re-start,"Jelena Glazova",2009,"07/01/2015 - 13:01","poetry, ambient video, light, sound environment, expressionism"
"The Basho's Expansion","Paul-Eerik Rummo",2000,"07/01/2015 - 13:01",
Prepare,"Jaak Tomberg, Lemmit Kaplinski",1999,"07/01/2015 - 13:01",hypertext
"The Weather Station Never Lies","Tambett Tamm",1999,"11/28/2015 - 12:20",
"Le lit des amants (The Lover's Bed / Rakastavaisten vuode)","Elina Saloranta",2004,"07/01/2015 - 13:01","experimental, multimodal, video art, combinatory poetics, interactive"
"The murmur of i n t e r s t i c e s","Zahra Safavian",2000,"10/21/2015 - 13:48","Shockwave, audio, responsive, kinetic, poetry, Rumi"
Puddle,"Neil Hennessy",1999,"07/01/2015 - 13:01","animated gif, scheduled, concrete poetry, minimalism"
NobodyHere,"Jogchem Niemandsverdriet",1998,"10/21/2015 - 13:56","HTML, animated gif, Flash, Shockwave, hypertext, metaphor"
"@georgelazenby : How Goes the Enemy?","William Poundstone",2011,"07/01/2015 - 13:01","video, Flash, scheduled, twitter"
"The Longest Poem in the World","Andrei Gheorghe",2009,"07/01/2015 - 13:01","twitter, javascript, generative"
"Deseo - Desejo - Desire: 3 Erotic Anipoems","Ana María Uribe",2003,"07/01/2015 - 13:01","Flash, static, audio, e-poetry, desire"
"Campbell's Soup Town","Young-Hae Chang Heavy Industries",2011,"07/01/2015 - 13:01","Flash, scheduled, audio"
"Taroko Gary","Leonardo L. Flores",2012,"07/01/2015 - 13:01","kinetic, HTML, e-poetry, scheduled, javascript"
Biggz,"Loss Pequeño Glazier, Simon Biggs",2006,"07/01/2015 - 13:01","javascript, HTML, scheduled, e-poetry"
Clippings,"Jason Nelson, Pedro Valdeolmillos",2006,"07/01/2015 - 13:01","love, Flash, responsive"
"untitled(to reconstruct)","Jason Nelson, Jody Zellen",2006,"07/01/2015 - 13:01","e-poetry, audio, responsive, tree-structures"
Dibagan,"Brian Kim Stefans, Geniwate",2006,"07/01/2015 - 13:01","audio, Flash, responsive, kinetic"
Noiselines,"Pedro Valdeolmillos, Jason Nelson",2006,"07/01/2015 - 13:01","e-poetry, noise, Flash, responsive, audio"
"The Defacement of Desire","Braxton Soderman, Roxanne Carter",2006,"07/01/2015 - 13:01","CAVE, responsive, audio"
"The Winter House","Naomi Alderman",2010,"05/10/2020 - 16:49","multimedia, murder-mystery, linear, hypertect, Flash, audio, responsive, creative language, digital art, educational game"
"Toward a Circulation of the Page","Braxton Soderman",2003,"07/01/2015 - 13:01","collage, kinetic, Shockwave, audio"
"Visual Sonnet #1","Braxton Soderman",2004,"07/01/2015 - 13:01","Shockwave, responsive, generative, sonnet"
"Larvatus Prodeo","Braxton Soderman, Roxanne Carter",2006,"07/01/2015 - 13:01","HTML, scheduled, static"
Snowblind,"Braxton Soderman, Roxanne Carter",2007,"07/01/2015 - 13:01","CAVE, audio, kinetic, scheduled"
"Cloud #1","Braxton Soderman",2007,"07/01/2015 - 13:01","scheduled, static"
"A Dialogue Between Two Eyeballs","Braxton Soderman",2007,"07/01/2015 - 13:01","Shockwave, kinetic, audio, hypertext"
"5 Haitis","Simon Kerr",2011,"10/31/2018 - 15:39","Flash, audio, static"
"The O2 Tales","Anna Pitt",2010,"05/10/2020 - 16:50","xhtml, javascript, hypertext, audio, responsive"
"Tasty Gougère","Helen J Burgess",2012,"10/18/2016 - 14:55","remix, HTML, javascript, static, scheduled"
"Designer Gulch","Brendan Howell",2012,"07/01/2015 - 13:01","remix, HTML, javascript, static, scheduled, responsive"
"Inside the House","Adam Sylvain",2011,"07/01/2015 - 13:01","remix, HTML, javascript, scheduled, static"
Snowball,"Alireza Mahzoon",2012,"10/18/2016 - 14:47","remix, HTML, javascript, static, scheduled"
"Camel Tail","Sonny Rae Tempest",2012,"10/18/2016 - 14:42","remix, HTML, javascript, static, scheduled"
"Tournedo Gorge","Kathi Inman Berens",2012,"10/18/2016 - 14:58","remix, HTML, javascript, static, scheduled"
"Scholars Contemplate the Irish Beer","Judy Malloy",2012,"10/18/2016 - 14:46","remix, HTML, javascript, static, scheduled"
"The Dark Side of the Wall","Bob Bonsall",2012,"07/01/2015 - 13:01","HTML, javascript, static, remix, scheduled"
"Tacoma Grunge","Chuck Rybak",2012,"07/01/2015 - 13:01","remix, HTML, javascript, static, scheduled"
Skakbræt,"Sonja Thomsen",2002,"11/28/2015 - 12:19","non-linear, conceptual writing, collaborative, multimodal texts, combinatory poetics, grid, hypertext, spatial"
Zone,"Andy Campbell, David Jhave Johnston",2013,"07/01/2015 - 13:01","3D, dark, dreaming methods, experimental computer game, experimental fiction"
Postmeaning,"David Knoebel",2011,"10/26/2017 - 10:40","facebook, twitter, performance, poetry, sharingplatform"
"[Untitled Twitter Fiction @samplereality]","Mark Sample",2010,"10/26/2017 - 10:52","twitter, fiction, netprov, sharingplatform"
"Google Poetics","Sampsa Nuotio, Raisa Omaheimo",2012,"11/28/2015 - 12:17","found poetry, poetry, Google"
